req_name,req_aim,illegal,adv,topic,city,explain
Garbage Containers,non-human,no,no,waste/cleanup services,San Francisco,"Although mainly caused by Humans, it is not a direct complaint against a human"
Graffiti,human,yes,yes,graffiti,San Francisco,-
Illegal Postings,human,yes,yes,other/miscellaneous,San Francisco,-
Noise Issue,human,maybe,yes,noise,San Francisco,-
Park Requests,non-human,no,no,city infrastructure,San Francisco,-
Parking & Traffic Sign Repair,non-human,no,no,roadway/roadway lighting,San Francisco,-
Pothole & Street Issues,non-human,no,no,roadway/roadway lighting,San Francisco,-
Street or Sidewalk Cleaning,non-human,no,no,waste/cleanup services,San Francisco,-
Streetlight Repair,non-human,no,no,roadway/roadway lighting,San Francisco,-
Tree Maintenance,non-human,no,no,landscaping request/concern,San Francisco,-
